RL;PREMIER_ROMAN;EAN;titre;auteur;TYPES;GENRE;Editeur;PAYS;CONTINENT;Traduit de;Traduit par;Date de parution;MOIS;ANNEE_PUBLICATION;url;categorie;prix_gf;prix_ebook;couverture;caracteristiques;ISBN;Format;Présentation;Nb. de pages;Poids;Dimensions;Collection
RL;NON;9782021489910;Hôtel de la folie- Grand Format;David Le Bailly;Romans français;M;Seuil;FRANCE;EUROPE;VF;-;2023-08-18 00:00:00;August;2023.0;https://www.decitre.fr/livres/hotel-de-la-folie-9782021489910.html;['Livres', 'Littérature', 'Romans'];18,50 €;Ebook12,99 €;https://products-images.di-static.com/image/david-le-bailly-hotel-de-la-folie/9782021489910-45x70-1.webp 1x,https://products-images.di-static.com/image/david-le-bailly-hotel-de-la-folie/9782021489910-45x70-2.webp 2x;Date de parution|18/08/2023|Editeur|Seuil|Collection|Cadre rouge|ISBN|978-2-02-148991-0|EAN|9782021489910|Format|Grand Format|Présentation|Broché|Nb. de pages|199 pages|Poids|0.268 Kg|Dimensions|14,4 cm × 20,7 cm × 2,3 cm;978-2-02-148991-0;Grand Format;Broché;199 pages;0.268 Kg;14,4 cm × 20,7 cm × 2,3 cm;Cadre rouge
RL;NON;9782021500325;Les alchimies- Grand Format;Sarah Chiche;Romans français;F;Seuil;FRANCE;EUROPE;VF;-;2023-08-18 00:00:00;August;2023.0;https://www.decitre.fr/livres/les-alchimies-9782021500325.html;['Livres', 'Littérature', 'Romans'];19,50 €;Ebook13,99 €;https://products-images.di-static.com/image/sarah-chiche-les-alchimies/9782021500325-45x70-1.webp 1x,https://products-images.di-static.com/image/sarah-chiche-les-alchimies/9782021500325-45x70-2.webp 2x;Date de parution|18/08/2023|Editeur|Seuil|Collection|Cadre rouge|ISBN|978-2-02-150032-5|EAN|9782021500325|Format|Grand Format|Présentation|Broché|Nb. de pages|237 pages|Poids|0.325 Kg|Dimensions|14,3 cm × 20,5 cm × 1,8 cm;978-2-02-150032-5;Grand Format;Broché;237 pages;0.325 Kg;14,3 cm × 20,5 cm × 1,8 cm;Cadre rouge
RL;NON;9782021534948;Eunice- Grand Format;Lisette Lombé;Romans français;F;Seuil;FRANCE;EUROPE;VF;-;2023-08-18 00:00:00;August;2023.0;https://www.decitre.fr/livres/eunice-9782021534948.html;['Livres', 'Littérature', 'Romans'];18,00 €;Ebook12,99 €;https://products-images.di-static.com/image/lisette-lombe-eunice/9782021534948-45x70-1.webp 1x,https://products-images.di-static.com/image/lisette-lombe-eunice/9782021534948-45x70-2.webp 2x;Date de parution|18/08/2023|Editeur|Seuil|Collection|Fiction & Cie|ISBN|978-2-02-153494-8|EAN|9782021534948|Format|Grand Format|Présentation|Broché|Nb. de pages|192 pages|Poids|0.244 Kg|Dimensions|14,0 cm × 20,4 cm × 2,8 cm;978-2-02-153494-8;Grand Format;Broché;192 pages;0.244 Kg;14,0 cm × 20,4 cm × 2,8 cm;Fiction & Cie
RL;PREMIER ROMAN;9782823620276;Georgette- Grand Format;Dea Liane;Romans français;F;Editions de l'Olivier;FRANCE;EUROPE;VF;-;2023-08-18 00:00:00;August;2023.0;https://www.decitre.fr/livres/georgette-9782823620276.html;['Livres', 'Littérature', 'Romans'];17,00 €;Ebook11,99 €;https://products-images.di-static.com/image/dea-liane-georgette/9782823620276-45x70-1.webp 1x,https://products-images.di-static.com/image/dea-liane-georgette/9782823620276-45x70-2.webp 2x;Date de parution|18/08/2023|Editeur|Editions de l'Olivier|ISBN|978-2-8236-2027-6|EAN|9782823620276|Format|Grand Format|Présentation|Broché|Nb. de pages|160 pages|Poids|0.202 Kg|Dimensions|14,0 cm × 20,7 cm × 3,8 cm;978-2-8236-2027-6;Grand Format;Broché;160 pages;0.202 Kg;14,0 cm × 20,7 cm × 3,8 cm;
;;9791022612913;Portrait huaco- Grand Format;Gabriela Wiener;;;Métailié;;;;;2023-08-18 00:00:00;August;2023.0;https://www.decitre.fr/livres/portrait-huaco-9791022612913.html;['Livres', 'Littérature', 'Romans'];19,60 €;Ebook9,99 €;https://products-images.di-static.com/image/gabriela-wiener-portrait-huaco/9791022612913-45x70-1.webp 1x,https://products-images.di-static.com/image/gabriela-wiener-portrait-huaco/9791022612913-45x70-2.webp 2x;Date de parution|18/08/2023|Editeur|Métailié|ISBN|979-10-226-1291-3|EAN|9791022612913|Format|Grand Format|Présentation|Broché|Nb. de pages|160 pages|Poids|0.212 Kg|Dimensions|14,1 cm × 21,4 cm × 1,9 cm;979-10-226-1291-3;Grand Format;Broché;160 pages;0.212 Kg;14,1 cm × 21,4 cm × 1,9 cm;
;;9791042201050;Juste une fois- Grand Format;Blanche Nalb;;;Le Lys Bleu;;;;;2023-08-18 00:00:00;August;2023.0;https://www.decitre.fr/livre-pod/juste-une-fois-9791042201050.html;['Livres', 'Littérature', 'Romans'];15,20 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-juste-une-fois/9791042201050-475x500-1.webp 1x,https://products-images.di-static.com/image/sodis-juste-une-fois/9791042201050-475x500-2.webp 2x;Date de parution|18/08/2023|Editeur|Le Lys Bleu|ISBN|979-10-422-0105-0|EAN|9791042201050|Format|Grand Format|Présentation|Broché|Nb. de pages|132 pages|Poids|0.182 Kg|Dimensions|14,8 cm × 21,0 cm × 0,8 cm;979-10-422-0105-0;Grand Format;Broché;132 pages;0.182 Kg;14,8 cm × 21,0 cm × 0,8 cm;
;;9791042201210;L'envoûtement de la bête noire- Grand Format;Christian Busseuil;;;Le Lys Bleu;;;;;2023-08-18 00:00:00;August;2023.0;https://www.decitre.fr/livre-pod/l-envoutement-de-la-bete-noire-9791042201210.html;['Livres', 'Littérature', 'Romans'];21,80 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-l-envoutement-de-la-bete-noire/9791042201210-475x500-1.webp 1x,https://products-images.di-static.com/image/sodis-l-envoutement-de-la-bete-noire/9791042201210-475x500-2.webp 2x;Date de parution|18/08/2023|Editeur|Le Lys Bleu|ISBN|979-10-422-0121-0|EAN|9791042201210|Format|Grand Format|Présentation|Broché|Nb. de pages|244 pages|Poids|0.321 Kg|Dimensions|14,8 cm × 21,0 cm × 1,3 cm;979-10-422-0121-0;Grand Format;Broché;244 pages;0.321 Kg;14,8 cm × 21,0 cm × 1,3 cm;
;;9791042202637;Le cadeau caché- Grand Format;Nathalie Michon;;;Le Lys Bleu;;;;;2023-08-18 00:00:00;August;2023.0;https://www.decitre.fr/livre-pod/le-cadeau-cache-9791042202637.html;['Livres', 'Littérature', 'Romans'];18,10 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-le-cadeau-cache/9791042202637-475x500-1.webp 1x,https://products-images.di-static.com/image/sodis-le-cadeau-cache/9791042202637-475x500-2.webp 2x;Date de parution|18/08/2023|Editeur|Le Lys Bleu|ISBN|979-10-422-0263-7|EAN|9791042202637|Format|Grand Format|Présentation|Broché|Nb. de pages|152 pages|Poids|0.207 Kg|Dimensions|14,8 cm × 21,0 cm × 0,9 cm;979-10-422-0263-7;Grand Format;Broché;152 pages;0.207 Kg;14,8 cm × 21,0 cm × 0,9 cm;
RL;NON;9782021468243;Les instants suspendus- Grand Format;Philippe Delerm;Romans français;M;Seuil;FRANCE;EUROPE;VF;-;2023-08-18 00:00:00;August;2023.0;https://www.decitre.fr/livres/les-instants-suspendus-9782021468243.html;['Livres', 'Littérature', 'Romans'];14,90 €;Ebook10,99 €;https://products-images.di-static.com/image/philippe-delerm-les-instants-suspendus/9782021468243-45x70-1.webp 1x,https://products-images.di-static.com/image/philippe-delerm-les-instants-suspendus/9782021468243-45x70-2.webp 2x;Date de parution|18/08/2023|Editeur|Seuil|ISBN|978-2-02-146824-3|EAN|9782021468243|Format|Grand Format|Présentation|Broché|Nb. de pages|105 pages|Poids|0.14 Kg|Dimensions|13,4 cm × 18,5 cm × 1,6 cm;978-2-02-146824-3;Grand Format;Broché;105 pages;0.14 Kg;13,4 cm × 18,5 cm × 1,6 cm;
;;9782823617887;Trust- Grand Format;Hernán Diaz;;;Editions de l'Olivier;;;;;2023-08-18 00:00:00;August;2023.0;https://www.decitre.fr/livres/trust-9782823617887.html;['Livres', 'Littérature', 'Romans'];23,50 €;Ebook16,99 €;https://products-images.di-static.com/image/hernan-diaz-trust/9782823617887-45x70-1.webp 1x,https://products-images.di-static.com/image/hernan-diaz-trust/9782823617887-45x70-2.webp 2x;Date de parution|18/08/2023|Editeur|Editions de l'Olivier|ISBN|978-2-8236-1788-7|EAN|9782823617887|Format|Grand Format|Présentation|Broché|Nb. de pages|397 pages|Poids|0.45 Kg|Dimensions|14,6 cm × 22,1 cm × 2,7 cm;978-2-8236-1788-7;Grand Format;Broché;397 pages;0.45 Kg;14,6 cm × 22,1 cm × 2,7 cm;
RL;NON;9782021442014;Samsara- Grand Format;Patrick Deville;Romans français;M;Seuil;FRANCE;EUROPE;VF;-;2023-08-18 00:00:00;August;2023.0;https://www.decitre.fr/livres/samsara-9782021442014.html;['Livres', 'Littérature', 'Romans'];19,00 €;Ebook13,99 €;https://products-images.di-static.com/image/patrick-deville-samsara/9782021442014-45x70-1.webp 1x,https://products-images.di-static.com/image/patrick-deville-samsara/9782021442014-45x70-2.webp 2x;Date de parution|18/08/2023|Editeur|Seuil|Collection|Fiction & Cie|ISBN|978-2-02-144201-4|EAN|9782021442014|Format|Grand Format|Présentation|Broché|Nb. de pages|179 pages|Poids|0.242 Kg|Dimensions|14,3 cm × 20,5 cm × 1,7 cm;978-2-02-144201-4;Grand Format;Broché;179 pages;0.242 Kg;14,3 cm × 20,5 cm × 1,7 cm;Fiction & Cie
RL;NON;9782021497724;Pauvre folle- Grand Format;Chloé Delaume;Romans français;F;Seuil;FRANCE;EUROPE;VF;-;2023-08-18 00:00:00;August;2023.0;https://www.decitre.fr/livres/pauvre-folle-9782021497724.html;['Livres', 'Littérature', 'Romans'];19,50 €;Ebook13,99 €;https://products-images.di-static.com/image/chloe-delaume-pauvre-folle/9782021497724-45x70-1.webp 1x,https://products-images.di-static.com/image/chloe-delaume-pauvre-folle/9782021497724-45x70-2.webp 2x;Date de parution|18/08/2023|Editeur|Seuil|Collection|Fiction & Cie|ISBN|978-2-02-149772-4|EAN|9782021497724|Format|Grand Format|Présentation|Broché|Nb. de pages|233 pages|Poids|0.3 Kg|Dimensions|14,0 cm × 20,5 cm × 2,0 cm;978-2-02-149772-4;Grand Format;Broché;233 pages;0.3 Kg;14,0 cm × 20,5 cm × 2,0 cm;Fiction & Cie
;;9782364686748;Shy- Grand Format;Max Porter;;;Sous-sol (Editions du);;;;;2023-08-18 00:00:00;August;2023.0;https://www.decitre.fr/livres/shy-9782364686748.html;['Livres', 'Littérature', 'Romans'];17,50 €;Ebook12,99 €;https://products-images.di-static.com/image/max-porter-shy/9782364686748-45x70-1.webp 1x,https://products-images.di-static.com/image/max-porter-shy/9782364686748-45x70-2.webp 2x;Date de parution|18/08/2023|Editeur|Sous-sol (Editions du)|Collection|Feuilleton Fiction|ISBN|978-2-36468-674-8|EAN|9782364686748|Format|Grand Format|Présentation|Broché|Nb. de pages|135 pages|Poids|0.168 Kg|Dimensions|12,9 cm × 19,9 cm × 1,4 cm;978-2-36468-674-8;Grand Format;Broché;135 pages;0.168 Kg;12,9 cm × 19,9 cm × 1,4 cm;Feuilleton Fiction
;;9791042202811;Cavan D767- Grand Format;Christian Morisseau;;;Le Lys Bleu;;;;;2023-08-18 00:00:00;August;2023.0;https://www.decitre.fr/livre-pod/cavan-d767-9791042202811.html;['Livres', 'Littérature', 'Romans'];12,00 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-cavan-d767/9791042202811-475x500-1.webp 1x,https://products-images.di-static.com/image/sodis-cavan-d767/9791042202811-475x500-2.webp 2x;Date de parution|18/08/2023|Editeur|Le Lys Bleu|ISBN|979-10-422-0281-1|EAN|9791042202811|Format|Grand Format|Présentation|Broché|Nb. de pages|108 pages|Poids|0.111 Kg|Dimensions|12,0 cm × 19,0 cm × 0,6 cm;979-10-422-0281-1;Grand Format;Broché;108 pages;0.111 Kg;12,0 cm × 19,0 cm × 0,6 cm;
RL;PREMIER_ROMAN;9782376650393;Mississippi- Grand Format;Sophie G. Lucas;Romans français;F;La contre allée;FRANCE;EUROPE;VF;-;2023-08-18 00:00:00;August;2023.0;https://www.decitre.fr/livres/mississippi-9782376650393.html;['Livres', 'Littérature', 'Romans'];18,00 €;Ebook11,99 €;https://products-images.di-static.com/image/sophie-g-lucas-mississippi/9782376650393-45x70-1.webp 1x,https://products-images.di-static.com/image/sophie-g-lucas-mississippi/9782376650393-45x70-2.webp 2x;Date de parution|18/08/2023|Editeur|La contre allée|Collection|La Sentinelle|ISBN|978-2-37665-039-3|EAN|9782376650393|Format|Grand Format|Présentation|Dos carré collé|Nb. de pages|178 pages|Poids|0.216 Kg|Dimensions|13,7 cm × 19,0 cm × 1,5 cm;978-2-37665-039-3;Grand Format;Dos carré collé;178 pages;0.216 Kg;13,7 cm × 19,0 cm × 1,5 cm;La Sentinelle
RL;NON;9782823619515;Le château des rentiers- Grand Format;Agnès Desarthe;Romans français;F;Editions de l'Olivier;FRANCE;EUROPE;VF;-;2023-08-18 00:00:00;August;2023.0;https://www.decitre.fr/livres/le-chateau-des-rentiers-9782823619515.html;['Livres', 'Littérature', 'Romans'];19,50 €;Ebook13,99 €;https://products-images.di-static.com/image/agnes-desarthe-le-chateau-des-rentiers/9782823619515-45x70-1.webp 1x,https://products-images.di-static.com/image/agnes-desarthe-le-chateau-des-rentiers/9782823619515-45x70-2.webp 2x;Date de parution|18/08/2023|Editeur|Editions de l'Olivier|ISBN|978-2-8236-1951-5|EAN|9782823619515|Format|Grand Format|Présentation|Broché|Nb. de pages|214 pages|Poids|0.295 Kg|Dimensions|14,1 cm × 20,6 cm × 2,2 cm;978-2-8236-1951-5;Grand Format;Broché;214 pages;0.295 Kg;14,1 cm × 20,6 cm × 2,2 cm;
RL;NON;9782021477764;Les silences des pères- Grand Format;Rachid Benzine;Romans français;M;Seuil;FRANCE;EUROPE;VF;-;2023-08-18 00:00:00;August;2023.0;https://www.decitre.fr/livres/les-silences-des-peres-9782021477764.html;['Livres', 'Littérature', 'Romans'];17,50 €;Ebook12,99 €;https://products-images.di-static.com/image/rachid-benzine-les-silences-des-peres/9782021477764-45x70-1.webp 1x,https://products-images.di-static.com/image/rachid-benzine-les-silences-des-peres/9782021477764-45x70-2.webp 2x;Date de parution|18/08/2023|Editeur|Seuil|Collection|Cadre rouge|ISBN|978-2-02-147776-4|EAN|9782021477764|Format|Grand Format|Présentation|Broché|Nb. de pages|171 pages|Poids|0.225 Kg|Dimensions|14,2 cm × 20,5 cm × 2,4 cm;978-2-02-147776-4;Grand Format;Broché;171 pages;0.225 Kg;14,2 cm × 20,5 cm × 2,4 cm;Cadre rouge
RL;NON;9782752913807;L'éditeur- Grand Format;Capucine Ruat;Romans français;F;Phébus (Editions);FRANCE;EUROPE;VF;-;2023-08-17 00:00:00;August;2023.0;https://www.decitre.fr/livres/l-editeur-9782752913807.html;['Livres', 'Littérature', 'Romans'];19,50 €;Ebook12,99 €;https://products-images.di-static.com/image/capucine-ruat-l-editeur/9782752913807-45x70-1.webp 1x,https://products-images.di-static.com/image/capucine-ruat-l-editeur/9782752913807-45x70-2.webp 2x;Date de parution|17/08/2023|Editeur|Phébus (Editions)|ISBN|978-2-7529-1380-7|EAN|9782752913807|Format|Grand Format|Présentation|Broché|Nb. de pages|266 pages|Poids|0.34 Kg|Dimensions|14,0 cm × 20,5 cm × 2,1 cm;978-2-7529-1380-7;Grand Format;Broché;266 pages;0.34 Kg;14,0 cm × 20,5 cm × 2,1 cm;
RL;PREMIER ROMAN;9782882508577;Jeudi- Grand Format;Eden Levin;Romans français;M;Noir Sur Blanc (Les Editions);FRANCE;EUROPE;VF;-;2023-08-17 00:00:00;August;2023.0;https://www.decitre.fr/livres/jeudi-9782882508577.html;['Livres', 'Littérature', 'Romans'];22,00 €;Ebook15,99 €;https://products-images.di-static.com/image/eden-levin-jeudi/9782882508577-45x70-1.webp 1x,https://products-images.di-static.com/image/eden-levin-jeudi/9782882508577-45x70-2.webp 2x;Date de parution|17/08/2023|Editeur|Noir Sur Blanc (Les Editions)|Collection|Notabilia|ISBN|978-2-88250-857-7|EAN|9782882508577|Format|Grand Format|Présentation|Broché|Nb. de pages|336 pages|Poids|0.36 Kg|Dimensions|13,0 cm × 20,0 cm × 1,7 cm;978-2-88250-857-7;Grand Format;Broché;336 pages;0.36 Kg;13,0 cm × 20,0 cm × 1,7 cm;Notabilia
;;9782810509744;Pélagie-la-charrette- Grand Format;Antonine Maillet;;;Le Figaro Editions;;;;;2023-08-17 00:00:00;August;2023.0;https://www.decitre.fr/livres/pelagie-la-charrette-9782810509744.html;['Livres', 'Littérature', 'Romans'];12,90 €;pas de prix ebook;https://products-images.di-static.com/image/antonine-maillet-pelagie-la-charrette/9782810509744-475x500-1.webp 1x,https://products-images.di-static.com/image/antonine-maillet-pelagie-la-charrette/9782810509744-475x500-2.webp 2x;Date de parution|17/08/2023|Editeur|Le Figaro Editions|Collection|Le meilleur du Prix Goncourt|ISBN|978-2-8105-0974-4|EAN|9782810509744|Format|Grand Format|Nb. de pages|316 pages|Poids|0.31 Kg|Dimensions|12,7 cm × 20,7 cm × 2,0 cm;978-2-8105-0974-4;Grand Format;;316 pages;0.31 Kg;12,7 cm × 20,7 cm × 2,0 cm;Le meilleur du Prix Goncourt
RL;NON;9782283036815;Terre étrangère- Grand Format;Renaud Meyer;Romans français;M;Buchet-Chastel;FRANCE;EUROPE;VF;-;2023-08-17 00:00:00;August;2023.0;https://www.decitre.fr/livres/terre-etrangere-9782283036815.html;['Livres', 'Littérature', 'Romans'];19,50 €;Ebook13,99 €;https://products-images.di-static.com/image/renaud-meyer-terre-etrangere/9782283036815-45x70-1.webp 1x,https://products-images.di-static.com/image/renaud-meyer-terre-etrangere/9782283036815-45x70-2.webp 2x;Date de parution|17/08/2023|Editeur|Buchet-Chastel|ISBN|978-2-283-03681-5|EAN|9782283036815|Format|Grand Format|Présentation|Broché|Nb. de pages|214 pages|Poids|0.242 Kg|Dimensions|13,0 cm × 19,0 cm × 1,8 cm;978-2-283-03681-5;Grand Format;Broché;214 pages;0.242 Kg;13,0 cm × 19,0 cm × 1,8 cm;
RL;NON;9782752913227;Au-delà des linceuls- Grand Format;Eloi Audoin-Rouzeau;Romans français;M;Phébus (Editions);FRANCE;EUROPE;VF;-;2023-08-17 00:00:00;August;2023.0;https://www.decitre.fr/livres/au-dela-des-linceuls-9782752913227.html;['Livres', 'Littérature', 'Romans'];22,50 €;Ebook15,99 €;https://products-images.di-static.com/image/eloi-audoin-rouzeau-au-dela-des-linceuls/9782752913227-45x70-1.webp 1x,https://products-images.di-static.com/image/eloi-audoin-rouzeau-au-dela-des-linceuls/9782752913227-45x70-2.webp 2x;Date de parution|17/08/2023|Editeur|Phébus (Editions)|ISBN|978-2-7529-1322-7|EAN|9782752913227|Format|Grand Format|Présentation|Broché|Nb. de pages|368 pages|Poids|0.44 Kg|Dimensions|14,0 cm × 20,5 cm × 3,0 cm;978-2-7529-1322-7;Grand Format;Broché;368 pages;0.44 Kg;14,0 cm × 20,5 cm × 3,0 cm;
;;9782258206540;Le Moulin de la Dérobade- Grand Format;Annie Degroote;;;Presses de la Cité;;;;;2023-08-17 00:00:00;August;2023.0;https://www.decitre.fr/livres/le-moulin-de-la-derobade-9782258206540.html;['Livres', 'Littérature', 'Romans'];22,00 €;Ebook11,99 €;https://products-images.di-static.com/image/annie-degroote-le-moulin-de-la-derobade/9782258206540-45x70-1.webp 1x,https://products-images.di-static.com/image/annie-degroote-le-moulin-de-la-derobade/9782258206540-45x70-2.webp 2x;Date de parution|17/08/2023|Editeur|Presses de la Cité|Collection|Terres de France|ISBN|978-2-258-20654-0|EAN|9782258206540|Format|Grand Format|Présentation|Broché|Nb. de pages|359 pages|Poids|0.405 Kg|Dimensions|14,2 cm × 22,6 cm × 2,4 cm;978-2-258-20654-0;Grand Format;Broché;359 pages;0.405 Kg;14,2 cm × 22,6 cm × 2,4 cm;Terres de France
RL;PREMIER ROMAN;9782283038550;J'ai 8 ans et je m'appelle Jean Rochefort- Grand Format;Adèle Fugère;Romans français;F;Buchet-Chastel;FRANCE;EUROPE;VF;-;2023-08-17 00:00:00;August;2023.0;https://www.decitre.fr/livres/j-ai-8-ans-et-je-m-appelle-jean-rochefort-9782283038550.html;['Livres', 'Littérature', 'Romans'];13,50 €;Ebook9,49 €;https://products-images.di-static.com/image/adele-fugere-j-ai-8-ans-et-je-m-appelle-jean-rochefort/9782283038550-45x70-1.webp 1x,https://products-images.di-static.com/image/adele-fugere-j-ai-8-ans-et-je-m-appelle-jean-rochefort/9782283038550-45x70-2.webp 2x;Date de parution|17/08/2023|Editeur|Buchet-Chastel|ISBN|978-2-283-03855-0|EAN|9782283038550|Format|Grand Format|Présentation|Dos carré collé|Nb. de pages|134 pages|Poids|0.17 Kg|Dimensions|13,2 cm × 19,2 cm × 1,3 cm;978-2-283-03855-0;Grand Format;Dos carré collé;134 pages;0.17 Kg;13,2 cm × 19,2 cm × 1,3 cm;
;;9791035957476;J'ai demandé au hasard- Grand Format;Gabrielle Desabers;;;Bookelis;;;;;2023-08-17 00:00:00;August;2023.0;https://www.decitre.fr/livre-pod/j-ai-demande-au-hasard-9791035957476.html;['Livres', 'Littérature', 'Romans'];18,00 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-j-ai-demande-au-hasard/9791035957476-475x500-1.webp 1x,https://products-images.di-static.com/image/hachette-j-ai-demande-au-hasard/9791035957476-475x500-2.webp 2x;Date de parution|17/08/2023|Editeur|Bookelis|ISBN|979-10-359-5747-6|EAN|9791035957476|Format|Grand Format|Présentation|Broché|Nb. de pages|398 pages|Poids|0.477 Kg|Dimensions|14,8 cm × 21,0 cm × 0,0 cm;979-10-359-5747-6;Grand Format;Broché;398 pages;0.477 Kg;14,8 cm × 21,0 cm × 0,0 cm;
;;9782812938917;La Couleur de l'espérance- Grand Format;René Barral;;;De Borée;;;;;2023-08-17 00:00:00;August;2023.0;https://www.decitre.fr/livres/la-couleur-de-l-esperance-9782812938917.html;['Livres', 'Littérature', 'Romans'];19,50 €;Ebook9,99 €;https://products-images.di-static.com/image/rene-barral-la-couleur-de-l-esperance/9782812938917-45x70-1.webp 1x,https://products-images.di-static.com/image/rene-barral-la-couleur-de-l-esperance/9782812938917-45x70-2.webp 2x;Date de parution|17/08/2023|Editeur|De Borée|Collection|Terres d'écriture|ISBN|978-2-8129-3891-7|EAN|9782812938917|Format|Grand Format|Présentation|Broché|Nb. de pages|283 pages|Poids|0.416 Kg|Dimensions|15,0 cm × 23,0 cm × 2,5 cm;978-2-8129-3891-7;Grand Format;Broché;283 pages;0.416 Kg;15,0 cm × 23,0 cm × 2,5 cm;Terres d'écriture
RL;NON;9782812928192;Les Gens des brumes- Grand Format;Martine Pilate;Romans français;F;De Borée;FRANCE;EUROPE;VF;-;2023-08-17 00:00:00;August;2023.0;https://www.decitre.fr/livres/les-gens-des-brumes-9782812928192.html;['Livres', 'Littérature', 'Romans'];19,90 €;Ebook9,99 €;https://products-images.di-static.com/image/martine-pilate-les-gens-des-brumes/9782812928192-45x70-1.webp 1x,https://products-images.di-static.com/image/martine-pilate-les-gens-des-brumes/9782812928192-45x70-2.webp 2x;Date de parution|17/08/2023|Editeur|De Borée|Collection|Terres d'écriture|ISBN|978-2-8129-2819-2|EAN|9782812928192|Format|Grand Format|Présentation|Broché|Nb. de pages|320 pages|Poids|0.456 Kg|Dimensions|15,0 cm × 23,0 cm × 2,7 cm;978-2-8129-2819-2;Grand Format;Broché;320 pages;0.456 Kg;15,0 cm × 23,0 cm × 2,7 cm;Terres d'écriture
;;9782072765728;Stupeur- Grand Format;Zeruya Shalev;;;Gallimard;;;;;2023-08-17 00:00:00;August;2023.0;https://www.decitre.fr/livres/stupeur-9782072765728.html;['Livres', 'Littérature', 'Romans'];23,50 €;Ebook16,99 €;https://products-images.di-static.com/image/zeruya-shalev-stupeur/9782072765728-45x70-1.webp 1x,https://products-images.di-static.com/image/zeruya-shalev-stupeur/9782072765728-45x70-2.webp 2x;Date de parution|17/08/2023|Editeur|Gallimard|Collection|Du monde entier|ISBN|978-2-07-276572-8|EAN|9782072765728|Format|Grand Format|Présentation|Broché|Nb. de pages|363 pages|Poids|0.378 Kg|Dimensions|14,0 cm × 20,5 cm × 2,5 cm;978-2-07-276572-8;Grand Format;Broché;363 pages;0.378 Kg;14,0 cm × 20,5 cm × 2,5 cm;Du monde entier
RL;NON;9782072945892;Sarah, Susanne et l'écrivain- Grand Format;Eric Reinhardt;Romans français;M;Gallimard;FRANCE;EUROPE;VF;-;2023-08-17 00:00:00;August;2023.0;https://www.decitre.fr/livres/sarah-susanne-et-l-ecrivain-9782072945892.html;['Livres', 'Littérature', 'Romans'];22,00 €;Ebook15,99 €;https://products-images.di-static.com/image/eric-reinhardt-sarah-susanne-et-l-ecrivain/9782072945892-45x70-1.webp 1x,https://products-images.di-static.com/image/eric-reinhardt-sarah-susanne-et-l-ecrivain/9782072945892-45x70-2.webp 2x;Date de parution|17/08/2023|Editeur|Gallimard|Collection|Blanche|ISBN|978-2-07-294589-2|EAN|9782072945892|Format|Grand Format|Présentation|Broché|Nb. de pages|419 pages|Poids|0.438 Kg|Dimensions|14,0 cm × 20,5 cm × 2,7 cm;978-2-07-294589-2;Grand Format;Broché;419 pages;0.438 Kg;14,0 cm × 20,5 cm × 2,7 cm;Blanche
RL;NON;9782818057919;La Justice des hommes- Grand Format;Santiago H. Amigorena;Romans français;M;P.O.L;FRANCE;EUROPE;VF;-;2023-08-17 00:00:00;August;2023.0;https://www.decitre.fr/livres/la-justice-des-hommes-9782818057919.html;['Livres', 'Littérature', 'Romans'];21,00 €;Ebook14,99 €;https://products-images.di-static.com/image/santiago-h-amigorena-la-justice-des-hommes/9782818057919-45x70-1.webp 1x,https://products-images.di-static.com/image/santiago-h-amigorena-la-justice-des-hommes/9782818057919-45x70-2.webp 2x;Date de parution|17/08/2023|Editeur|P.O.L|ISBN|978-2-8180-5791-9|EAN|9782818057919|Format|Grand Format|Présentation|Broché|Nb. de pages|313 pages|Poids|0.322 Kg|Dimensions|13,9 cm × 20,4 cm × 2,1 cm;978-2-8180-5791-9;Grand Format;Broché;313 pages;0.322 Kg;13,9 cm × 20,4 cm × 2,1 cm;
;;9782818058268;Triste tigre- Grand Format;Neige Sinno;;;P.O.L;;;;;2023-08-17 00:00:00;August;2023.0;https://www.decitre.fr/livres/triste-tigre-9782818058268.html;['Livres', 'Littérature', 'Romans'];20,00 €;Ebook14,99 €;https://products-images.di-static.com/image/neige-sinno-triste-tigre/9782818058268-45x70-1.webp 1x,https://products-images.di-static.com/image/neige-sinno-triste-tigre/9782818058268-45x70-2.webp 2x;Date de parution|17/08/2023|Editeur|P.O.L|ISBN|978-2-8180-5826-8|EAN|9782818058268|Format|Grand Format|Présentation|Dos carré collé|Nb. de pages|283 pages|Poids|0.288 Kg|Dimensions|14,0 cm × 20,5 cm × 1,9 cm;978-2-8180-5826-8;Grand Format;Dos carré collé;283 pages;0.288 Kg;14,0 cm × 20,5 cm × 1,9 cm;
