RL;PREMIER_ROMAN;EAN;titre;auteur;TYPES;GENRE;Editeur;PAYS;latitude;longitude;CONTINENT;Traduit de;Traduit par;Date de parution;MOIS;ANNEE_PUBLICATION;url;categorie;prix_gf;prix_ebook;couverture;caracteristiques;ISBN;Format;Présentation;Nb. de pages;Poids;Dimensions;Collection
RL;NON;9791030801040.0;Les Corps flottants- Grand Format;Mikaël Hirsch;Romans français;M;Dilettante (Le);FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-30;August;2023.0;https://www.decitre.fr/livres/les-corps-flottants-9791030801040.html;['Livres', 'Littérature', 'Romans'];21,00 €;10,49 €;https://products-images.di-static.com/image/mikael-hirsch-les-corps-flottants/9791030801057-70x95-1.webp 1x,https://products-images.di-static.com/image/mikael-hirsch-les-corps-flottants/9791030801057-70x95-2.webp 2x;Date de parution|30/08/2023|Editeur|Dilettante (Le)|ISBN|979-10-308-0104-0|EAN|9791030801040|Format|Grand Format|Présentation|Broché|Nb. de pages|256 pages|Poids|0.336 Kg|Dimensions|14,0 cm × 20,6 cm × 2,2 cm;979-10-308-0104-0;Grand Format;Broché;256 pages;0.336 Kg;14,0 cm × 20,6 cm × 2,2 cm;
;NAN;9782406148487.0;Un Shtetl suivi de Père et fils- Grand Format;Isaac Meir Weissenberg;;;Classiques Garnier;NAN;46.3144754;11.0480288;NAN;;;2023-08-30;August;2023.0;https://www.decitre.fr/livres/un-shtetl-suivi-de-pere-et-fils-9782406148487.html;['Livres', 'Littérature', 'Romans'];22,00 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-recits-yiddish/9782812435225-200x303-1.webp 1x,https://products-images.di-static.com/image/sodis-recits-yiddish/9782812435225-200x303-2.webp 2x;Date de parution|30/08/2023|Editeur|Classiques Garnier|Collection|Littérature, histoire, politiq|ISBN|978-2-406-14848-7|EAN|9782406148487|Format|Grand Format|Présentation|Broché|Nb. de pages|136 pages|Poids|0.19 Kg|Dimensions|15,0 cm × 22,0 cm × 0,8 cm;978-2-406-14848-7;Grand Format;Broché;136 pages;0.19 Kg;15,0 cm × 22,0 cm × 0,8 cm;Littérature, histoire, politiq
;NAN;9782406148494.0;Un Shtetl suivi de Père et fils- Grand Format;Isaac Meir Weissenberg;;;Classiques Garnier;NAN;46.3144754;11.0480288;NAN;;;2023-08-30;August;2023.0;https://www.decitre.fr/livre-pod/un-shtetl-suivi-de-pere-et-fils-9782406148494.html;['Livres', 'Littérature', 'Romans'];69,00 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-recits-yiddish/9782812435225-200x303-1.webp 1x,https://products-images.di-static.com/image/sodis-recits-yiddish/9782812435225-200x303-2.webp 2x;Date de parution|30/08/2023|Editeur|Classiques Garnier|Collection|Littérature, histoire, politiq|ISBN|978-2-406-14849-4|EAN|9782406148494|Format|Grand Format|Présentation|Relié|Nb. de pages|136 pages|Poids|1.401 Kg;978-2-406-14849-4;Grand Format;Relié;136 pages;1.401 Kg;;Littérature, histoire, politiq
;NAN;9782754763967.0;Deux vies  - Ou de l'inégalité des chances- Grand Format;Robert Naggar;;;Panthéon (Les éditions du);NAN;46.3144754;11.0480288;NAN;;;2023-08-29;August;2023.0;https://www.decitre.fr/livre-pod/deux-vies-9782754763967.html;['Livres', 'Littérature', 'Romans'];20,90 €;12,99 €;https://products-images.di-static.com/image/hachette-deux-vies/9782754763967-45x70-1.webp 1x,https://products-images.di-static.com/image/hachette-deux-vies/9782754763967-45x70-2.webp 2x;Date de parution|29/08/2023|Editeur|Panthéon (Les éditions du)|ISBN|978-2-7547-6396-7|EAN|9782754763967|Format|Grand Format|Présentation|Broché|Nb. de pages|216 pages|Poids|0.23 Kg|Dimensions|13,3 cm × 20,3 cm × 0,0 cm;978-2-7547-6396-7;Grand Format;Broché;216 pages;0.23 Kg;13,3 cm × 20,3 cm × 0,0 cm;
RL;PREMIER ROMAN;9782812204524.0;Insurrection- Grand Format;Anthony Samama;Romans français;M;Ramsay;FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-29;August;2023.0;https://www.decitre.fr/livres/insurrection-9782812204524.html;['Livres', 'Littérature', 'Romans'];19,00 €;12,99 €;https://products-images.di-static.com/image/anthony-samama-insurrection/9782812204524-45x70-1.webp 1x,https://products-images.di-static.com/image/anthony-samama-insurrection/9782812204524-45x70-2.webp 2x;Date de parution|29/08/2023|Editeur|Ramsay|ISBN|978-2-8122-0452-4|EAN|9782812204524|Format|Grand Format|Présentation|Broché|Nb. de pages|211 pages|Poids|0.3 Kg|Dimensions|14,0 cm × 22,5 cm × 1,8 cm;978-2-8122-0452-4;Grand Format;Broché;211 pages;0.3 Kg;14,0 cm × 22,5 cm × 1,8 cm;
RL;NON;9782812204531.0;Dans l'ombre enseveli- Grand Format;Olivier Miquel;Romans français;M;Ramsay;FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-29;August;2023.0;https://www.decitre.fr/livres/dans-l-ombre-enseveli-9782812204531.html;['Livres', 'Littérature', 'Romans'];20,00 €;12,99 €;https://products-images.di-static.com/image/olivier-miquel-dans-l-ombre-enseveli/9782812204531-475x500-1.webp 1x,https://products-images.di-static.com/image/olivier-miquel-dans-l-ombre-enseveli/9782812204531-475x500-2.webp 2x;Date de parution|29/08/2023|Editeur|Ramsay|ISBN|978-2-8122-0453-1|EAN|9782812204531|Format|Grand Format|Présentation|Broché|Nb. de pages|200 pages|Poids|0.37 Kg|Dimensions|14,0 cm × 22,5 cm × 2,1 cm;978-2-8122-0453-1;Grand Format;Broché;200 pages;0.37 Kg;14,0 cm × 22,5 cm × 2,1 cm;
RL;NON;9782385290337.0;Dans la forêt des larmes- Grand Format;Glendy Vanderah;Romans étrangers;F;Charleston éditions;ETATS-UNIS;39.7837304;-100.445882;NORTH AMERICA;ANGLAIS;Laura Bourgeois;2023-08-29;August;2023.0;https://www.decitre.fr/livres/dans-la-foret-des-larmes-9782385290337.html;['Livres', 'Littérature', 'Romans'];22,90 €;14,99 €;https://products-images.di-static.com/image/glendy-vanderah-dans-la-foret-des-larmes/9782385290337-45x70-1.webp 1x,https://products-images.di-static.com/image/glendy-vanderah-dans-la-foret-des-larmes/9782385290337-45x70-2.webp 2x;Date de parution|29/08/2023|Editeur|Charleston éditions|ISBN|978-2-38529-033-7|EAN|9782385290337|Format|Grand Format|Présentation|Broché|Nb. de pages|528 pages|Poids|0.745 Kg|Dimensions|15,0 cm × 23,0 cm × 4,8 cm;978-2-38529-033-7;Grand Format;Broché;528 pages;0.745 Kg;15,0 cm × 23,0 cm × 4,8 cm;
;NAN;9782874898877.0;La grande profondeur- Grand Format;Catherine Barreau;;;Weyrich Edition;NAN;46.3144754;11.0480288;NAN;;;2023-08-29;August;2023.0;https://www.decitre.fr/livres/la-grande-profondeur-9782874898877.html;['Livres', 'Littérature', 'Romans'];9,50 €;pas de prix ebook;https://products-images.di-static.com/image/catherine-barreau-la-grande-profondeur/9782874898877-475x500-1.webp 1x,https://products-images.di-static.com/image/catherine-barreau-la-grande-profondeur/9782874898877-475x500-2.webp 2x;Date de parution|29/08/2023|Editeur|Weyrich Edition|Collection|La Traversée|ISBN|978-2-87489-887-7|EAN|9782874898877|Format|Grand Format|Présentation|Relié|Nb. de pages|84 pages|Poids|0.13 Kg|Dimensions|14,0 cm × 21,0 cm × 0,5 cm;978-2-87489-887-7;Grand Format;Relié;84 pages;0.13 Kg;14,0 cm × 21,0 cm × 0,5 cm;La Traversée
;NAN;9782487000025.0;Le coup de dés  - Et autres textes rares- Grand Format;Pierre Boulle;;;Miroitements;NAN;46.3144754;11.0480288;NAN;;;2023-08-29;August;2023.0;https://www.decitre.fr/livres/le-coup-de-des-9782487000025.html;['Livres', 'Littérature', 'Romans'];17,00 €;pas de prix ebook;https://products-images.di-static.com/image/pierre-boulle-le-coup-de-des/9782487000025-475x500-1.webp 1x,https://products-images.di-static.com/image/pierre-boulle-le-coup-de-des/9782487000025-475x500-2.webp 2x;Date de parution|29/08/2023|Editeur|Miroitements|ISBN|978-2-487000-02-5|EAN|9782487000025|Format|Grand Format|Présentation|Relié|Nb. de pages|200 pages|Poids|0.2 Kg|Dimensions|1,3 cm × 2,2 cm × 0,1 cm;978-2-487000-02-5;Grand Format;Relié;200 pages;0.2 Kg;1,3 cm × 2,2 cm × 0,1 cm;
;NAN;9782379614200.0;La meute de Mervent Tome 3- Grand Format;Laura Black;;;Elixyria;NAN;46.3144754;11.0480288;NAN;;;2023-08-28;August;2023.0;https://www.decitre.fr/livres/la-meute-de-mervent-tome-3-les-loups-blancs-9782379614200.html;['Livres', 'Littérature', 'Romans'];17,90 €;pas de prix ebook;https://products-images.di-static.com/image/laura-black-la-meute-de-mervent-tome-3-les-loups-blancs/9782379614200-475x500-1.webp 1x,https://products-images.di-static.com/image/laura-black-la-meute-de-mervent-tome-3-les-loups-blancs/9782379614200-475x500-2.webp 2x;Date de parution|28/08/2023|Editeur|Elixyria|Collection|ELIXIR OF MOONL|ISBN|978-2-37961-420-0|EAN|9782379614200|Format|Grand Format|Présentation|Broché|Poids|0.46 Kg|Dimensions|14,8 cm × 21,0 cm × 2,4 cm;978-2-37961-420-0;Grand Format;Broché;;0.46 Kg;14,8 cm × 21,0 cm × 2,4 cm;ELIXIR OF MOONL
