RL;PREMIER_ROMAN;EAN;titre;auteur;TYPES;GENRE;Editeur;PAYS;latitude;longitude;CONTINENT;Traduit de;Traduit par;Date de parution;MOIS;ANNEE_PUBLICATION;url;categorie;prix_gf;prix_ebook;couverture;caracteristiques;ISBN;Format;Présentation;Nb. de pages;Poids;Dimensions;Collection
;NAN;9782812459085.0;Le verger fertile des vertus  - Composé par defuncte Madame du Verger augmenté et amplifié par Philippe du Verger sa fille, femme d'un Procureur de la Cour- Grand Format;Madame Du Verger;;;Classiques Garnier;NAN;46.3144754;11.0480288;NAN;;;2023-07-27;July;2023.0;https://www.decitre.fr/livre-pod/le-verger-fertile-des-vertus-9782812459085.html;['Livres', 'Littérature', 'Romans'];76,00 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-le-verger-fertile-des-vertus/9782812459085-45x70-1.webp 1x,https://products-images.di-static.com/image/sodis-le-verger-fertile-des-vertus/9782812459085-45x70-2.webp 2x;Date de parution|27/07/2023|Editeur|Classiques Garnier|Collection|Textes de la Renaissance|ISBN|978-2-8124-5908-5|EAN|9782812459085|Format|Grand Format|Présentation|Relié|Nb. de pages|180 pages|Poids|1.401 Kg;978-2-8124-5908-5;Grand Format;Relié;180 pages;1.401 Kg;;Textes de la Renaissance
;NAN;9791042200398.0;L'agresseur  - Le bruit- Grand Format;Terence Nguindi Awoulé;;;Le Lys Bleu;NAN;46.3144754;11.0480288;NAN;;;2023-07-27;July;2023.0;https://www.decitre.fr/livre-pod/l-agresseur-9791042200398.html;['Livres', 'Littérature', 'Romans'];12,00 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-l-agresseur/9791042200398-475x500-1.webp 1x,https://products-images.di-static.com/image/sodis-l-agresseur/9791042200398-475x500-2.webp 2x;Date de parution|27/07/2023|Editeur|Le Lys Bleu|ISBN|979-10-422-0039-8|EAN|9791042200398|Format|Grand Format|Présentation|Broché|Nb. de pages|108 pages|Poids|0.152 Kg|Dimensions|14,8 cm × 21,0 cm × 0,6 cm;979-10-422-0039-8;Grand Format;Broché;108 pages;0.152 Kg;14,8 cm × 21,0 cm × 0,6 cm;
;NAN;9782322488056.0;Vents de liberté- Grand Format;Evelyne Grondier;;;Books on Demand;NAN;46.3144754;11.0480288;NAN;;;2023-07-26;July;2023.0;https://www.decitre.fr/livre-pod/vents-de-liberte-9782322488056.html;['Livres', 'Littérature', 'Romans'];7,00 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-vents-de-liberte/9782322488056-475x500-1.webp 1x;Date de parution|26/07/2023|Editeur|Books on Demand|ISBN|978-2-322-48805-6|EAN|9782322488056|Format|Grand Format|Présentation|Broché|Nb. de pages|72 pages|Poids|0.11 Kg|Dimensions|13,5 cm × 21,5 cm × 0,5 cm;978-2-322-48805-6;Grand Format;Broché;72 pages;0.11 Kg;13,5 cm × 21,5 cm × 0,5 cm;
;NAN;9791042201333.0;Au-delà des maux- Grand Format;Mathilde Gantois;;;Le Lys Bleu;NAN;46.3144754;11.0480288;NAN;;;2023-07-26;July;2023.0;https://www.decitre.fr/livre-pod/au-dela-des-maux-9791042201333.html;['Livres', 'Littérature', 'Romans'];14,00 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-au-dela-des-maux/9791042201333-475x500-1.webp 1x;Date de parution|26/07/2023|Editeur|Le Lys Bleu|ISBN|979-10-422-0133-3|EAN|9791042201333|Format|Grand Format|Présentation|Broché|Nb. de pages|120 pages|Poids|0.122 Kg|Dimensions|12,0 cm × 19,0 cm × 0,7 cm;979-10-422-0133-3;Grand Format;Broché;120 pages;0.122 Kg;12,0 cm × 19,0 cm × 0,7 cm;
;NAN;9782823137262.0;Un amour vaudou- Grand Format;Hans Michel Beaugélus;;;Persée (Editions);NAN;46.3144754;11.0480288;NAN;;;2023-07-26;July;2023.0;https://www.decitre.fr/livre-pod/un-amour-vaudou-9782823137262.html;['Livres', 'Littérature', 'Romans'];14,90 €;10,99 €;https://products-images.di-static.com/image/hans-michel-beaugelus-un-amour-vaudou/9782823137583-70x95-1.webp 1x,https://products-images.di-static.com/image/hans-michel-beaugelus-un-amour-vaudou/9782823137583-70x95-2.webp 2x;Date de parution|26/07/2023|Editeur|Persée (Editions)|ISBN|978-2-8231-3726-2|EAN|9782823137262|Format|Grand Format|Présentation|Broché|Poids|0.163 Kg;978-2-8231-3726-2;Grand Format;Broché;;0.163 Kg;;
;NAN;9782382684382.0;Quand les corbeaux volent sur le dos…- Grand Format;Céleste Torino;;;France Libris ICN;NAN;46.3144754;11.0480288;NAN;;;2023-07-25;July;2023.0;https://www.decitre.fr/livre-pod/quand-les-corbeaux-volent-sur-le-dos-9782382684382.html;['Livres', 'Littérature', 'Romans'];18,00 €;pas de prix ebook;https://products-images.di-static.com/image/france-libris-icn-editions-quand-les-corbeaux-volent-sur-le-dos/9782382684382-475x500-1.webp 1x,https://products-images.di-static.com/image/france-libris-icn-editions-quand-les-corbeaux-volent-sur-le-dos/9782382684382-475x500-2.webp 2x;Date de parution|25/07/2023|Editeur|France Libris ICN|ISBN|978-2-38268-438-2|EAN|9782382684382|Format|Grand Format|Présentation|Broché|Nb. de pages|200 pages|Poids|0.28 Kg|Dimensions|14,0 cm × 21,5 cm × 1,4 cm;978-2-38268-438-2;Grand Format;Broché;200 pages;0.28 Kg;14,0 cm × 21,5 cm × 1,4 cm;
;NAN;9782754764766.0;Le souffle de l'humain... Une lampe au bord de la Ngounié  - Tome 1, Guide pour la vie en toute quiétude- Grand Format;Pantheon;;;Panthéon (Les éditions du);NAN;46.3144754;11.0480288;NAN;;;2023-07-25;July;2023.0;https://www.decitre.fr/livres/le-souffle-de-l-humain-9782754764766.html;['Livres', 'Littérature', 'Romans'];22,90 €;12,99 €;https://products-images.di-static.com/image/pantheon-le-souffle-de-l-humain/9782754764766-45x70-1.webp 1x,https://products-images.di-static.com/image/pantheon-le-souffle-de-l-humain/9782754764766-45x70-2.webp 2x;Date de parution|25/07/2023|Editeur|Panthéon (Les éditions du)|ISBN|978-2-7547-6476-6|EAN|9782754764766|Format|Grand Format|Présentation|Broché|Nb. de pages|256 pages|Poids|0.34 Kg|Dimensions|14,0 cm × 22,5 cm × 0,0 cm;978-2-7547-6476-6;Grand Format;Broché;256 pages;0.34 Kg;14,0 cm × 22,5 cm × 0,0 cm;
;NAN;9782754765381.0;Sorcière pour l'éternité- Grand Format;David Irtal;;;Panthéon (Les éditions du);NAN;46.3144754;11.0480288;NAN;;;2023-07-25;July;2023.0;https://www.decitre.fr/livre-pod/sorciere-pour-l-eternite-9782754765381.html;['Livres', 'Littérature', 'Romans'];17,50 €;9,99 €;https://products-images.di-static.com/image/hachette-sorciere-pour-l-eternite/9782754765381-45x70-1.webp 1x,https://products-images.di-static.com/image/hachette-sorciere-pour-l-eternite/9782754765381-45x70-2.webp 2x;Date de parution|25/07/2023|Editeur|Panthéon (Les éditions du)|ISBN|978-2-7547-6538-1|EAN|9782754765381|Format|Grand Format|Présentation|Broché|Nb. de pages|160 pages|Poids|0.175 Kg|Dimensions|13,3 cm × 20,3 cm × 0,0 cm;978-2-7547-6538-1;Grand Format;Broché;160 pages;0.175 Kg;13,3 cm × 20,3 cm × 0,0 cm;
;NAN;9791028428358.0;Llebland- Grand Format;Bell Ondom;;;Vérone;NAN;46.3144754;11.0480288;NAN;;;2023-07-25;July;2023.0;https://www.decitre.fr/livre-pod/llebland-9791028428358.html;['Livres', 'Littérature', 'Romans'];17,00 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-llebland/9791028428358-475x500-1.webp 1x;Date de parution|25/07/2023|Editeur|Vérone|Collection|Evasion|ISBN|979-10-284-2835-8|EAN|9791028428358|Format|Grand Format|Présentation|Broché|Nb. de pages|166 pages|Poids|0.259 Kg|Dimensions|15,0 cm × 21,0 cm × 0,0 cm;979-10-284-2835-8;Grand Format;Broché;166 pages;0.259 Kg;15,0 cm × 21,0 cm × 0,0 cm;Evasion
;NAN;9791028428495.0;Tunnel d'enfance- Grand Format;Edith Lecourt;;;Vérone;NAN;46.3144754;11.0480288;NAN;;;2023-07-25;July;2023.0;https://www.decitre.fr/livre-pod/tunnel-d-enfance-9791028428495.html;['Livres', 'Littérature', 'Romans'];16,00 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-tunnel-d-enfance/9791028428495-475x500-1.webp 1x;Date de parution|25/07/2023|Editeur|Vérone|ISBN|979-10-284-2849-5|EAN|9791028428495|Format|Grand Format|Présentation|Broché|Nb. de pages|154 pages|Poids|0.244 Kg|Dimensions|15,0 cm × 21,0 cm × 0,0 cm;979-10-284-2849-5;Grand Format;Broché;154 pages;0.244 Kg;15,0 cm × 21,0 cm × 0,0 cm;
;NAN;9782322484973.0;Le Trésor des Passions  - Le secret du Roi Soleil- Grand Format;Mathieu Schaller;;;Books on Demand;NAN;46.3144754;11.0480288;NAN;;;2023-07-25;July;2023.0;https://www.decitre.fr/livre-pod/le-tresor-des-passions-9782322484973.html;['Livres', 'Littérature', 'Romans'];11,99 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-le-tresor-des-passions/9782322484973-475x500-1.webp 1x,https://products-images.di-static.com/image/sodis-le-tresor-des-passions/9782322484973-475x500-2.webp 2x;Date de parution|25/07/2023|Editeur|Books on Demand|ISBN|978-2-322-48497-3|EAN|9782322484973|Format|Grand Format|Présentation|Broché|Nb. de pages|220 pages|Poids|0.304 Kg|Dimensions|13,5 cm × 21,5 cm × 1,5 cm;978-2-322-48497-3;Grand Format;Broché;220 pages;0.304 Kg;13,5 cm × 21,5 cm × 1,5 cm;
;NAN;9791020360090.0;Shelsea- Grand Format;Christian Fenouillet;;;Baudelaire;NAN;46.3144754;11.0480288;NAN;;;2023-07-25;July;2023.0;https://www.decitre.fr/livres/shelsea-9791020360090.html;['Livres', 'Littérature', 'Romans'];13,00 €;pas de prix ebook;https://products-images.di-static.com/image/christian-fenouillet-shelsea/9791020360090-475x500-1.webp 1x,https://products-images.di-static.com/image/christian-fenouillet-shelsea/9791020360090-475x500-2.webp 2x;Date de parution|25/07/2023|Editeur|Baudelaire|ISBN|979-10-203-6009-0|EAN|9791020360090|Format|Grand Format|Présentation|Broché|Nb. de pages|86 pages|Poids|0.158 Kg|Dimensions|15,0 cm × 21,0 cm × 0,0 cm;979-10-203-6009-0;Grand Format;Broché;86 pages;0.158 Kg;15,0 cm × 21,0 cm × 0,0 cm;
;NAN;9791028428792.0;Sur le fil- Grand Format;Sylvain De Wit;;;Vérone;NAN;46.3144754;11.0480288;NAN;;;2023-07-25;July;2023.0;https://www.decitre.fr/livre-pod/sur-le-fil-9791028428792.html;['Livres', 'Littérature', 'Romans'];14,50 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-sur-le-fil/9791028428792-475x500-1.webp 1x;Date de parution|25/07/2023|Editeur|Vérone|ISBN|979-10-284-2879-2|EAN|9791028428792|Format|Grand Format|Présentation|Broché|Nb. de pages|138 pages|Poids|0.224 Kg|Dimensions|15,0 cm × 21,0 cm × 0,0 cm;979-10-284-2879-2;Grand Format;Broché;138 pages;0.224 Kg;15,0 cm × 21,0 cm × 0,0 cm;
;NAN;9791028428921.0;Et un jour, la porte de la lumière s'ouvre- Grand Format;Muriel Garreau;;;Vérone;NAN;46.3144754;11.0480288;NAN;;;2023-07-25;July;2023.0;https://www.decitre.fr/livre-pod/et-un-jour-la-porte-de-la-lumiere-s-ouvre-9791028428921.html;['Livres', 'Littérature', 'Romans'];13,50 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-et-un-jour-la-porte-de-la-lumiere-s-ouvre/9791028428921-475x500-1.webp 1x;Date de parution|25/07/2023|Editeur|Vérone|ISBN|979-10-284-2892-1|EAN|9791028428921|Format|Grand Format|Présentation|Broché|Nb. de pages|148 pages|Poids|0.236 Kg|Dimensions|15,0 cm × 21,0 cm × 0,0 cm;979-10-284-2892-1;Grand Format;Broché;148 pages;0.236 Kg;15,0 cm × 21,0 cm × 0,0 cm;
;NAN;9791028429003.0;La lettre- Grand Format;Benjamin Tipton;;;Vérone;NAN;46.3144754;11.0480288;NAN;;;2023-07-25;July;2023.0;https://www.decitre.fr/livre-pod/la-lettre-9791028429003.html;['Livres', 'Littérature', 'Romans'];18,50 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-la-lettre/9791028429003-475x500-1.webp 1x;Date de parution|25/07/2023|Editeur|Vérone|Collection|Evasion|ISBN|979-10-284-2900-3|EAN|9791028429003|Format|Grand Format|Présentation|Broché|Nb. de pages|298 pages|Poids|0.425 Kg|Dimensions|15,0 cm × 21,0 cm × 0,0 cm;979-10-284-2900-3;Grand Format;Broché;298 pages;0.425 Kg;15,0 cm × 21,0 cm × 0,0 cm;Evasion
;NAN;9791020359919.0;Ronléo- Grand Format;Alain Casas;;;Baudelaire;NAN;46.3144754;11.0480288;NAN;;;2023-07-25;July;2023.0;https://www.decitre.fr/livres/ronleo-9791020359919.html;['Livres', 'Littérature', 'Romans'];10,50 €;pas de prix ebook;https://products-images.di-static.com/image/alain-casas-ronleo/9791020359919-475x500-1.webp 1x,https://products-images.di-static.com/image/alain-casas-ronleo/9791020359919-475x500-2.webp 2x;Date de parution|25/07/2023|Editeur|Baudelaire|ISBN|979-10-203-5991-9|EAN|9791020359919|Format|Grand Format|Présentation|Broché|Nb. de pages|66 pages|Poids|0.133 Kg|Dimensions|15,0 cm × 21,0 cm × 0,0 cm;979-10-203-5991-9;Grand Format;Broché;66 pages;0.133 Kg;15,0 cm × 21,0 cm × 0,0 cm;
;NAN;9791028422967.0;Le mythe de l'étranger- Grand Format;Habib Benkirane;;;Vérone;NAN;46.3144754;11.0480288;NAN;;;2023-07-25;July;2023.0;https://www.decitre.fr/livre-pod/le-mythe-de-l-etranger-9791028422967.html;['Livres', 'Littérature', 'Romans'];10,50 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-le-mythe-de-l-etranger/9791028422967-475x500-1.webp 1x,https://products-images.di-static.com/image/hachette-le-mythe-de-l-etranger/9791028422967-475x500-2.webp 2x;Date de parution|25/07/2023|Editeur|Vérone|ISBN|979-10-284-2296-7|EAN|9791028422967|Format|Grand Format|Présentation|Broché|Nb. de pages|58 pages|Poids|0.123 Kg|Dimensions|15,0 cm × 21,0 cm × 0,0 cm;979-10-284-2296-7;Grand Format;Broché;58 pages;0.123 Kg;15,0 cm × 21,0 cm × 0,0 cm;
;NAN;9791028425180.0;La soeur effacée- Grand Format;Marie Complexe;;;Vérone;NAN;46.3144754;11.0480288;NAN;;;2023-07-25;July;2023.0;https://www.decitre.fr/livre-pod/la-soeur-effacee-9791028425180.html;['Livres', 'Littérature', 'Romans'];16,00 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-la-soeur-effacee/9791028425180-475x500-1.webp 1x,https://products-images.di-static.com/image/hachette-la-soeur-effacee/9791028425180-475x500-2.webp 2x;Date de parution|25/07/2023|Editeur|Vérone|ISBN|979-10-284-2518-0|EAN|9791028425180|Format|Grand Format|Présentation|Broché|Nb. de pages|176 pages|Poids|0.271 Kg|Dimensions|15,0 cm × 21,0 cm × 0,0 cm;979-10-284-2518-0;Grand Format;Broché;176 pages;0.271 Kg;15,0 cm × 21,0 cm × 0,0 cm;
;NAN;9791028428952.0;Le manuscrit interdit- Grand Format;Pierre-Yves Zwahlen;;;Vérone;NAN;46.3144754;11.0480288;NAN;;;2023-07-25;July;2023.0;https://www.decitre.fr/livre-pod/le-manuscrit-interdit-9791028428952.html;['Livres', 'Littérature', 'Romans'];19,00 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-le-manuscrit-interdit/9791028428952-475x500-1.webp 1x,https://products-images.di-static.com/image/hachette-le-manuscrit-interdit/9791028428952-475x500-2.webp 2x;Date de parution|25/07/2023|Editeur|Vérone|Collection|Evasion|ISBN|979-10-284-2895-2|EAN|9791028428952|Format|Grand Format|Présentation|Broché|Nb. de pages|238 pages|Poids|0.35 Kg|Dimensions|15,0 cm × 21,0 cm × 0,0 cm;979-10-284-2895-2;Grand Format;Broché;238 pages;0.35 Kg;15,0 cm × 21,0 cm × 0,0 cm;Evasion
;NAN;9791035995508.0;La vie sentimentale d'Elsa Kahn  - Tome 1- Grand Format;Carine Alexandre;;;Bookelis;NAN;46.3144754;11.0480288;NAN;;;2023-07-25;July;2023.0;https://www.decitre.fr/livre-pod/la-vie-sentimentale-d-elsa-kahn-9791035995508.html;['Livres', 'Littérature', 'Romans'];15,00 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-la-vie-sentimentale-d-elsa-kahn/9791035995508-475x500-1.webp 1x,https://products-images.di-static.com/image/hachette-la-vie-sentimentale-d-elsa-kahn/9791035995508-475x500-2.webp 2x;Date de parution|25/07/2023|Editeur|Bookelis|ISBN|979-10-359-9550-8|EAN|9791035995508|Format|Grand Format|Présentation|Broché|Nb. de pages|308 pages|Poids|0.373 Kg|Dimensions|14,8 cm × 21,0 cm × 0,0 cm;979-10-359-9550-8;Grand Format;Broché;308 pages;0.373 Kg;14,8 cm × 21,0 cm × 0,0 cm;
;NAN;9782385413392.0;Endurance- Grand Format;Quentin Arcane;;;Les Impliqués;NAN;46.3144754;11.0480288;NAN;;;2023-07-25;July;2023.0;https://www.decitre.fr/livres/endurance-9782385413392.html;['Livres', 'Littérature', 'Romans'];27,00 €;20,99 €;https://products-images.di-static.com/image/quentin-arcane-endurance/9782385413392-45x70-1.webp 1x,https://products-images.di-static.com/image/quentin-arcane-endurance/9782385413392-45x70-2.webp 2x;Date de parution|25/07/2023|Editeur|Les Impliqués|ISBN|978-2-38541-339-2|EAN|9782385413392|Format|Grand Format|Présentation|Broché|Nb. de pages|296 pages|Poids|0.424 Kg|Dimensions|15,5 cm × 24,0 cm × 1,6 cm;978-2-38541-339-2;Grand Format;Broché;296 pages;0.424 Kg;15,5 cm × 24,0 cm × 1,6 cm;
;NAN;9791020358769.0;Ma vie  - (Al Dente)- Grand Format;Jeff Talo;;;Baudelaire;NAN;46.3144754;11.0480288;NAN;;;2023-07-25;July;2023.0;https://www.decitre.fr/livres/ma-vie-9791020358769.html;['Livres', 'Littérature', 'Romans'];13,00 €;8,99 €;https://products-images.di-static.com/image/jeff-talo-ma-vie/9791020358769-45x70-1.webp 1x,https://products-images.di-static.com/image/jeff-talo-ma-vie/9791020358769-45x70-2.webp 2x;Date de parution|25/07/2023|Editeur|Baudelaire|ISBN|979-10-203-5876-9|EAN|9791020358769|Format|Grand Format|Présentation|Broché|Nb. de pages|106 pages|Poids|0.184 Kg|Dimensions|15,0 cm × 21,0 cm × 0,0 cm;979-10-203-5876-9;Grand Format;Broché;106 pages;0.184 Kg;15,0 cm × 21,0 cm × 0,0 cm;
;NAN;;;;;;;NAN;46.3144754;11.0480288;NAN;;;;;;;;;;;;;;;;;;
;NAN;9782080675446.0;LE DERNIER EUNUQUE- Grand Format;Freidoune Sahebjam;;;Flammarion;NAN;46.3144754;11.0480288;NAN;;;1997-12-01;December;1997.0;https://www.decitre.fr/livres/le-dernier-eunuque-9782080675446.html;['Livres', 'Littérature', 'Romans'];16,77 €;pas de prix ebook;https://products-images.di-static.com/image/freidoune-sahebjam-le-dernier-eunuque/9782866455606-70x95-1.webp 1x,https://products-images.di-static.com/image/freidoune-sahebjam-le-dernier-eunuque/9782866455606-70x95-2.webp 2x;Date de parution|01/12/1997|Editeur|Flammarion|ISBN|2-08-067544-3|EAN|9782080675446|Format|Grand Format|Présentation|Broché|Poids|0.001 Kg;2-08-067544-3;Grand Format;Broché;;0.001 Kg;;
;NAN;9782080675972.0;Fourmis mode d'emploi- Grand Format;Bernard Werber;;;Flammarion;NAN;46.3144754;11.0480288;NAN;;;1998-02-01;February;1998.0;https://www.decitre.fr/livres/fourmis-mode-d-emploi-9782080675972.html;['Livres', 'Littérature', 'Romans'];5,95 €;pas de prix ebook;https://products-images.di-static.com/image/bernard-werber-la-prophetie-des-abeilles/9782253936930-200x303-1.webp 1x,https://products-images.di-static.com/image/bernard-werber-la-prophetie-des-abeilles/9782253936930-200x303-2.webp 2x;Date de parution|01/02/1998|Editeur|Flammarion|ISBN|2-08-067597-4|EAN|9782080675972|Format|Grand Format|Présentation|Broché|Poids|0.001 Kg;2-08-067597-4;Grand Format;Broché;;0.001 Kg;;
;NAN;9782080117335.0;Tapis d'artistes- Grand Format;Suzanne Day;;;Flammarion;NAN;46.3144754;11.0480288;NAN;;;1999-01-01;January;1999.0;https://www.decitre.fr/livres/tapis-d-artistes-9782080117335.html;['Livres', 'Littérature', 'Romans'];15,24 €;pas de prix ebook;https://products-images.di-static.com/image/cedric-sapin-defour-son-odeur-apres-la-pluie/9782234093966-200x303-1.webp 1x,https://products-images.di-static.com/image/cedric-sapin-defour-son-odeur-apres-la-pluie/9782234093966-200x303-2.webp 2x;Date de parution|01/01/1999|Editeur|Flammarion|ISBN|2-08-011733-5|EAN|9782080117335|Format|Grand Format|Présentation|Broché|Poids|0.001 Kg;2-08-011733-5;Grand Format;Broché;;0.001 Kg;;
;NAN;9782080672773.0;Dominique de Roux- Grand Format;Jean-Luc Barré;;;Flammarion;NAN;46.3144754;11.0480288;NAN;;;1999-01-01;January;1999.0;https://www.decitre.fr/livres/dominique-de-roux-9782080672773.html;['Livres', 'Littérature', 'Romans'];17,00 €;pas de prix ebook;https://products-images.di-static.com/image/jean-luc-barre-chirac-confidentiel/9782818506592-200x303-1.webp 1x,https://products-images.di-static.com/image/jean-luc-barre-chirac-confidentiel/9782818506592-200x303-2.webp 2x;Date de parution|01/01/1999|Editeur|Flammarion|Collection|Grandes biographies|ISBN|2-08-067277-0|EAN|9782080672773|Format|Grand Format|Présentation|Broché|Poids|0.001 Kg;2-08-067277-0;Grand Format;Broché;;0.001 Kg;;Grandes biographies
;NAN;9782080674746.0;Héléna Rubinstein- Grand Format;Dumeige;;;Flammarion;NAN;46.3144754;11.0480288;NAN;;;1999-01-01;January;1999.0;https://www.decitre.fr/livres/helena-rubinstein-9782080674746.html;['Livres', 'Littérature', 'Romans'];18,29 €;pas de prix ebook;https://products-images.di-static.com/image/cedric-sapin-defour-son-odeur-apres-la-pluie/9782234093966-200x303-1.webp 1x,https://products-images.di-static.com/image/cedric-sapin-defour-son-odeur-apres-la-pluie/9782234093966-200x303-2.webp 2x;Date de parution|01/01/1999|Editeur|Flammarion|ISBN|2-08-067474-9|EAN|9782080674746|Format|Grand Format|Présentation|Broché|Poids|0.001 Kg;2-08-067474-9;Grand Format;Broché;;0.001 Kg;;
;NAN;9782080675149.0;Les manipulateurs- Grand Format;Fabrice d' Almeida;;;Flammarion;NAN;46.3144754;11.0480288;NAN;;;1999-01-01;January;1999.0;https://www.decitre.fr/livres/les-manipulateurs-9782080675149.html;['Livres', 'Littérature', 'Romans'];18,29 €;pas de prix ebook;https://products-images.di-static.com/image/fabrice-d-almeida-histoire-mondiale-des-riches/9782259311649-200x303-1.webp 1x;Date de parution|01/01/1999|Editeur|Flammarion|Collection|essais|ISBN|2-08-067514-1|EAN|9782080675149|Format|Grand Format|Présentation|Broché|Nb. de pages|300 pages|Poids|0.001 Kg|Dimensions|1,4 cm × 2,1 cm × 0,0 cm;2-08-067514-1;Grand Format;Broché;300 pages;0.001 Kg;1,4 cm × 2,1 cm × 0,0 cm;essais
;NAN;9782080668387.0;Le journal d'un père- Grand Format;Frédéric Ploquin;;;Flammarion;NAN;46.3144754;11.0480288;NAN;;;1999-01-01;January;1999.0;https://www.decitre.fr/livres/le-journal-d-un-pere-9782080668387.html;['Livres', 'Littérature', 'Romans'];16,62 €;pas de prix ebook;https://products-images.di-static.com/image/frederic-ploquin-jacky-le-mat/9782259315296-200x303-1.webp 1x,https://products-images.di-static.com/image/frederic-ploquin-jacky-le-mat/9782259315296-200x303-2.webp 2x;Date de parution|01/01/1999|Editeur|Flammarion|ISBN|2-08-066838-2|EAN|9782080668387|Format|Grand Format|Présentation|Broché|Poids|0.001 Kg;2-08-066838-2;Grand Format;Broché;;0.001 Kg;;
;NAN;9782080674616.0;En toute liberté- Grand Format;Jean Mazeaud;;;Flammarion;NAN;46.3144754;11.0480288;NAN;;;1999-01-01;January;1999.0;https://www.decitre.fr/livres/en-toute-liberte-9782080674616.html;['Livres', 'Littérature', 'Romans'];18,29 €;pas de prix ebook;https://products-images.di-static.com/image/cedric-sapin-defour-son-odeur-apres-la-pluie/9782234093966-200x303-1.webp 1x,https://products-images.di-static.com/image/cedric-sapin-defour-son-odeur-apres-la-pluie/9782234093966-200x303-2.webp 2x;Date de parution|01/01/1999|Editeur|Flammarion|ISBN|2-08-067461-7|EAN|9782080674616|Format|Grand Format|Présentation|Broché|Poids|0.001 Kg;2-08-067461-7;Grand Format;Broché;;0.001 Kg;;
;NAN;9782080676634.0;Dieu et Marianne- Grand Format;Henri Pena-Ruiz;;;Flammarion;NAN;46.3144754;11.0480288;NAN;;;1999-01-01;January;1999.0;https://www.decitre.fr/livres/dieu-et-marianne-9782080676634.html;['Livres', 'Littérature', 'Romans'];14,94 €;pas de prix ebook;https://products-images.di-static.com/image/henri-pena-ruiz-qu-est-ce-que-la-laicite/9782070303823-200x303-1.webp 1x,https://products-images.di-static.com/image/henri-pena-ruiz-qu-est-ce-que-la-laicite/9782070303823-200x303-2.webp 2x;Date de parution|01/01/1999|Editeur|Flammarion|ISBN|2-08-067663-6|EAN|9782080676634|Format|Grand Format|Présentation|Broché|Poids|0.001 Kg;2-08-067663-6;Grand Format;Broché;;0.001 Kg;;
;NAN;9782020247481.0;J'ai peur- Grand Format;Géraldine Kosiak;;;Seuil;NAN;46.3144754;11.0480288;NAN;;;1999-12-01;December;1999.0;https://www.decitre.fr/livres/j-ai-peur-9782020247481.html;['Livres', 'Littérature', 'Romans'];19,50 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-chez-nous/9782246815167-200x303-1.webp 1x,https://products-images.di-static.com/image/hachette-chez-nous/9782246815167-200x303-2.webp 2x;Date de parution|01/12/1999|Editeur|Seuil|ISBN|2-02-024748-8|EAN|9782020247481|Format|Grand Format|Présentation|Broché;2-02-024748-8;Grand Format;Broché;;;;
;NAN;9782082631105.0;La dame de la mer- Grand Format;Conti;;;Flammarion;NAN;46.3144754;11.0480288;NAN;;;2005-08-01;August;2005.0;https://www.decitre.fr/livres/la-dame-de-la-mer-9782082631105.html;['Livres', 'Littérature', 'Romans'];23,93 €;pas de prix ebook;https://products-images.di-static.com/image/cedric-sapin-defour-son-odeur-apres-la-pluie/9782234093966-200x303-1.webp 1x,https://products-images.di-static.com/image/cedric-sapin-defour-son-odeur-apres-la-pluie/9782234093966-200x303-2.webp 2x;Date de parution|01/08/2005|Editeur|Flammarion|ISBN|2-08-263110-9|EAN|9782082631105|Format|Grand Format|Présentation|Broché|Poids|0.001 Kg;2-08-263110-9;Grand Format;Broché;;0.001 Kg;;
;NAN;9782923713328.0;Le reste du temps- Grand Format;Emmelie Prophète;;;Mémoire d'Encrier;NAN;46.3144754;11.0480288;NAN;;;2011-05-02;May;2011.0;https://www.decitre.fr/livres/le-reste-du-temps-9782923713328.html;['Livres', 'Littérature', 'Romans'];18,00 €;6,99 €;https://products-images.di-static.com/image/emmelie-prophete-le-reste-du-temps/9782923713328-45x70-1.webp 1x,https://products-images.di-static.com/image/emmelie-prophete-le-reste-du-temps/9782923713328-45x70-2.webp 2x;Date de parution|02/05/2011|Editeur|Mémoire d'Encrier|ISBN|978-2-923713-32-8|EAN|9782923713328|Format|Grand Format|Présentation|Broché|Nb. de pages|167 pages|Poids|0.19 Kg|Dimensions|13,9 cm × 21,6 cm × 1,1 cm;978-2-923713-32-8;Grand Format;Broché;167 pages;0.19 Kg;13,9 cm × 21,6 cm × 1,1 cm;
