EAN,Dimensions
9782709670043.0,"13,0 cm × 20,5 cm × 2,9 cm"
9782383110248.0,"13,5 cm × 20,0 cm × 1,5 cm"
9782363925213.0,"14,2 cm × 20,5 cm × 1,0 cm"
9782363925244.0,"14,2 cm × 20,5 cm × 1,0 cm"
9782363925275.0,"14,2 cm × 20,5 cm × 1,0 cm"
9782363925305.0,"14,2 cm × 20,5 cm × 1,0 cm"
9782363925336.0,"14,2 cm × 20,5 cm × 1,0 cm"
9782363925367.0,"14,2 cm × 20,5 cm × 1,0 cm"
9782378720148.0,"14,2 cm × 20,5 cm × 1,0 cm"
9782378720186.0,"14,2 cm × 20,5 cm × 1,0 cm"
9782378720254.0,"14,2 cm × 20,5 cm × 1,0 cm"
9782378720261.0,"14,2 cm × 20,5 cm × 1,0 cm"
9782378720285.0,"14,2 cm × 20,5 cm × 1,0 cm"
9782382991541.0,"14,8 cm × 22,0 cm × 2,5 cm"
9782382991558.0,"14,8 cm × 22,0 cm × 3,0 cm"
9782382991565.0,"14,8 cm × 22,0 cm × 3,0 cm"
9782226451002.0,"15,2 cm × 22,0 cm × 3,2 cm"
9782226471178.0,"15,2 cm × 22,0 cm × 3,7 cm"
9782226481160.0,"14,0 cm × 20,5 cm × 3,0 cm"
9782226481795.0,"13,9 cm × 20,5 cm × 2,0 cm"
9782226486363.0,"14,1 cm × 20,6 cm × 2,1 cm"
9782234093799.0,"13,8 cm × 21,4 cm × 2,3 cm"
9782702188408.0,"13,5 cm × 21,5 cm × 1,5 cm"
9782709671309.0,"13,0 cm × 20,4 cm × 2,5 cm"
9782413079521.0,"13,5 cm × 22,0 cm × 2,7 cm"
9782330182106.0,"14,5 cm × 24,1 cm × 2,5 cm"
9782366247992.0,"14,1 cm × 20,5 cm × 1,3 cm"
9782017246411.0,"13,5 cm × 21,3 cm × 3,6 cm"
9782234092518.0,"13,5 cm × 21,5 cm × 2,7 cm"
9782330182250.0,"11,5 cm × 21,7 cm × 2,8 cm"
9782213721798.0,"13,4 cm × 21,5 cm × 2,6 cm"
9782702181836.0,"13,5 cm × 21,5 cm × 2,4 cm"
9782702188316.0,"14,5 cm × 22,0 cm × 3,1 cm"
9782207176627.0,"14,2 cm × 20,7 cm × 2,7 cm"
9782330181611.0,"11,6 cm × 21,8 cm × 2,0 cm"
9782743660475.0,"14,1 cm × 20,5 cm × 2,8 cm"
9782226473141.0,"14,2 cm × 20,6 cm × 2,4 cm"
9782226478344.0,"14,3 cm × 20,5 cm × 2,9 cm"
9782226485618.0,"13,3 cm × 20,2 cm × 1,6 cm"
9782080427595.0,"13,7 cm × 20,9 cm × 1,9 cm"
9782080429803.0,"13,7 cm × 21,0 cm × 2,0 cm"
9782234092358.0,"13,5 cm × 21,5 cm × 2,3 cm"
9782234094901.0,"13,5 cm × 21,5 cm × 2,0 cm"
9782226475015.0,"14,0 cm × 20,5 cm × 2,0 cm"
9782384547449.0,"14,8 cm × 21,0 cm × 1,9 cm"
9782384548804.0,"14,8 cm × 21,0 cm × 1,9 cm"
9791035996949.0,"14,8 cm × 21,0 cm × 0,0 cm"
9782367345277.0,"12,8 cm × 21,0 cm × 2,1 cm"
9782370712660.0,"14,2 cm × 19,4 cm × 2,2 cm"
9782764452219.0,"12,7 cm × 21,6 cm × 2,2 cm"
9782357071797.0,"13,1 cm × 20,5 cm × 1,0 cm"
9782897128807.0,"13,2 cm × 19,8 cm × 2,1 cm"
9791025205938.0,"13,2 cm × 20,0 cm × 2,1 cm"
9782918883029.0,"16,0 cm × 24,0 cm × 1,8 cm"
9782384548156.0,"14,8 cm × 21,0 cm × 1,5 cm"
9782365331258.0,"14,7 cm × 20,0 cm × 2,0 cm"
9782382571088.0,"11,8 cm × 20,0 cm × 1,9 cm"
9782494062238.0,"14,3 cm × 20,4 cm × 1,9 cm"
9791030417395.0,"11,7 cm × 18,5 cm × 0,9 cm"
9782363391940.0,"13,5 cm × 20,0 cm × 1,4 cm"
9782384312191.0,"14,7 cm × 21,0 cm × 1,8 cm"
9782815947770.0,"14,0 cm × 22,0 cm × 1,9 cm"
9791027904617.0,"12,6 cm × 20,2 cm × 1,5 cm"
9782940701629.0,"14,0 cm × 22,5 cm × 1,9 cm"
9782809716368.0,"13,2 cm × 20,6 cm × 2,7 cm"
9782374913230.0,"14,0 cm × 21,0 cm × 1,4 cm"
9782390700647.0,"14,4 cm × 21,0 cm × 1,7 cm"
9782494289208.0,"14,2 cm × 21,0 cm × 1,7 cm"
9781739458300.0,"10,8 cm × 17,8 cm × 1,2 cm"
9781739524029.0,"13,8 cm × 21,6 cm × 1,2 cm"
9782889072460.0,"14,1 cm × 21,2 cm × 0,8 cm"
9782494463059.0,"12,0 cm × 20,5 cm × 1,8 cm"
9791035970949.0,"14,8 cm × 21,0 cm × 0,0 cm"
9782916830261.0,"14,8 cm × 21,0 cm × 1,2 cm"
9791035984618.0,"15,6 cm × 23,4 cm × 0,0 cm"
9791042401030.0,"13,0 cm × 18,0 cm × 0,0 cm"
9782322500024.0,"12,0 cm × 19,0 cm × 2,3 cm"
9782414603138.0,"14,8 cm × 21,0 cm × 1,8 cm"
9782414603855.0,"14,8 cm × 21,0 cm × 2,5 cm"
9782414609857.0,"14,8 cm × 21,0 cm × 3,3 cm"
9782414613724.0,"14,8 cm × 21,0 cm × 0,6 cm"
9782414614202.0,"14,8 cm × 21,0 cm × 1,0 cm"
9782414614295.0,"14,8 cm × 21,0 cm × 0,9 cm"
9782322499694.0,"13,5 cm × 21,5 cm × 1,3 cm"
9782322501236.0,"13,5 cm × 21,5 cm × 1,3 cm"
9782322500987.0,"12,0 cm × 19,0 cm × 0,8 cm"
9791037798305.0,"14,8 cm × 21,0 cm × 0,6 cm"
9782322500673.0,"13,5 cm × 21,5 cm × 1,6 cm"
9782322500246.0,"14,8 cm × 21,0 cm × 1,1 cm"
9782021523720.0,"14,4 cm × 20,5 cm × 2,5 cm"
9782364687431.0,"14,1 cm × 20,4 cm × 2,1 cm"
9782889550807.0,"12,0 cm × 20,0 cm × 1,4 cm"
9782251454481.0,"12,5 cm × 19,0 cm × 1,9 cm"
9782381980577.0,"13,5 cm × 21,1 cm × 0,8 cm"
9782021496864.0,"14,7 cm × 22,0 cm × 2,8 cm"
9782493213310.0,"14,0 cm × 20,0 cm × 2,5 cm"
9791022612920.0,"14,2 cm × 21,5 cm × 2,7 cm"
9791097594718.0,"14,1 cm × 21,1 cm × 2,6 cm"
9782021489910.0,"14,4 cm × 20,7 cm × 2,3 cm"
9782021500325.0,"14,3 cm × 20,5 cm × 1,8 cm"
9782021534948.0,"14,0 cm × 20,4 cm × 2,8 cm"
9782823620276.0,"14,0 cm × 20,7 cm × 3,8 cm"
9791022612913.0,"14,1 cm × 21,4 cm × 1,9 cm"
9791042201050.0,"14,8 cm × 21,0 cm × 0,8 cm"
9791042201210.0,"14,8 cm × 21,0 cm × 1,3 cm"
9791042202637.0,"14,8 cm × 21,0 cm × 0,9 cm"
9782021468243.0,"13,4 cm × 18,5 cm × 1,6 cm"
9782823617887.0,"14,6 cm × 22,1 cm × 2,7 cm"
9782021442014.0,"14,3 cm × 20,5 cm × 1,7 cm"
9782021497724.0,"14,0 cm × 20,5 cm × 2,0 cm"
9782364686748.0,"12,9 cm × 19,9 cm × 1,4 cm"
9791042202811.0,"12,0 cm × 19,0 cm × 0,6 cm"
9782376650393.0,"13,7 cm × 19,0 cm × 1,5 cm"
9782823619515.0,"14,1 cm × 20,6 cm × 2,2 cm"
9782021477764.0,"14,2 cm × 20,5 cm × 2,4 cm"
9782752913807.0,"14,0 cm × 20,5 cm × 2,1 cm"
9782882508577.0,"13,0 cm × 20,0 cm × 1,7 cm"
9782810509744.0,"12,7 cm × 20,7 cm × 2,0 cm"
9782283036815.0,"13,0 cm × 19,0 cm × 1,8 cm"
9782752913227.0,"14,0 cm × 20,5 cm × 3,0 cm"
9782258206540.0,"14,2 cm × 22,6 cm × 2,4 cm"
9782283038550.0,"13,2 cm × 19,2 cm × 1,3 cm"
9791035957476.0,"14,8 cm × 21,0 cm × 0,0 cm"
9782812938917.0,"15,0 cm × 23,0 cm × 2,5 cm"
9782812928192.0,"15,0 cm × 23,0 cm × 2,7 cm"
9782072765728.0,"14,0 cm × 20,5 cm × 2,5 cm"
9782072945892.0,"14,0 cm × 20,5 cm × 2,7 cm"
9782818057919.0,"13,9 cm × 20,4 cm × 2,1 cm"
9782818058619.0,"14,0 cm × 20,6 cm × 3,2 cm"
9791038702226.0,"12,5 cm × 19,0 cm × 1,5 cm"
9782267050615.0,"13,5 cm × 21,5 cm × 2,0 cm"
9782283037898.0,"13,0 cm × 19,0 cm × 1,5 cm"
9782373852851.0,"14,2 cm × 21,2 cm × 2,7 cm"
9782363451293.0,"14,9 cm × 21,0 cm × 1,3 cm"
9782715262126.0,"14,0 cm × 20,5 cm × 1,3 cm"
9782493049261.0,"13,5 cm × 21,0 cm × 1,0 cm"
9782925141709.0,"12,7 cm × 19,0 cm × 2,0 cm"
9791038702233.0,"14,0 cm × 21,0 cm × 2,7 cm"
9782371250727.0,"14,0 cm × 21,0 cm × 1,2 cm"
9782382111697.0,"14,5 cm × 22,0 cm × 1,7 cm"
9782841007554.0,"14,1 cm × 20,6 cm × 1,3 cm"
9782875934642.0,"14,0 cm × 20,5 cm × 1,0 cm"
9791095434474.0,"13,0 cm × 20,1 cm × 1,4 cm"
9782322474523.0,"12,0 cm × 19,0 cm × 0,9 cm"
9782072958632.0,"14,0 cm × 20,5 cm × 2,0 cm"
9782073029164.0,"14,0 cm × 20,5 cm × 1,0 cm"
9782073032065.0,"14,2 cm × 20,6 cm × 1,2 cm"
9782073032263.0,"14,2 cm × 20,5 cm × 1,8 cm"
9782818058510.0,"14,2 cm × 20,5 cm × 2,8 cm"
9782073025654.0,"14,0 cm × 20,5 cm × 1,9 cm"
9782258196070.0,"14,2 cm × 22,6 cm × 3,4 cm"
9782350878911.0,"14,3 cm × 20,7 cm × 2,5 cm"
9782370553690.0,"15,2 cm × 20,1 cm × 1,8 cm"
9782841007561.0,"13,9 cm × 20,4 cm × 1,7 cm"
9782351783153.0,"14,3 cm × 20,7 cm × 2,8 cm"
9782265155602.0,"15,8 cm × 22,5 cm × 3,7 cm"
9782493206640.0,"14,2 cm × 20,7 cm × 2,4 cm"
9782382924129.0,"14,2 cm × 20,2 cm × 2,0 cm"
9782073027573.0,"15,0 cm × 22,0 cm × 3,0 cm"
9782073032362.0,"14,0 cm × 20,5 cm × 1,6 cm"
9782073035059.0,"14,1 cm × 20,6 cm × 2,0 cm"
9782378803742.0,"13,8 cm × 18,7 cm × 2,2 cm"
9782378803759.0,"14,7 cm × 20,1 cm × 2,8 cm"
9782370734648.0,"14,0 cm × 20,5 cm × 1,9 cm"
9782715261372.0,"14,0 cm × 20,5 cm × 1,0 cm"
9782073026064.0,"14,0 cm × 20,5 cm × 2,2 cm"
9782714497901.0,"14,1 cm × 20,6 cm × 2,7 cm"
9782073032119.0,"14,0 cm × 20,5 cm × 1,8 cm"
9782385910556.0,"14,8 cm × 21,0 cm × 1,5 cm"
9782385911546.0,"14,8 cm × 21,0 cm × 1,0 cm"
9782385911386.0,"14,8 cm × 21,0 cm × 1,7 cm"
9782383518259.0,"14,8 cm × 21,0 cm × 1,8 cm"
9782383518297.0,"14,8 cm × 21,0 cm × 2,4 cm"
9782383518594.0,"14,8 cm × 21,0 cm × 2,3 cm"
9782385911195.0,"14,8 cm × 21,0 cm × 2,3 cm"
9782385911300.0,"14,8 cm × 21,0 cm × 1,5 cm"
9782385911836.0,"14,8 cm × 21,0 cm × 2,4 cm"
9782385912659.0,"14,8 cm × 21,0 cm × 0,8 cm"
9782366247855.0,"11,3 cm × 21,0 cm × 1,1 cm"
9782383517122.0,"14,8 cm × 21,0 cm × 4,2 cm"
9782383519560.0,"14,8 cm × 21,0 cm × 1,8 cm"
9782322486847.0,"13,5 cm × 21,5 cm × 0,2 cm"
9782322487981.0,"15,5 cm × 22,0 cm × 1,3 cm"
9782755665734.0,"14,5 cm × 22,5 cm × 2,5 cm"
9782368129623.0,"14,6 cm × 23,0 cm × 4,0 cm"
9782246832669.0,"14,1 cm × 20,6 cm × 2,8 cm"
9782246834571.0,"14,0 cm × 20,6 cm × 1,7 cm"
9782746527249.0,"14,2 cm × 20,9 cm × 2,9 cm"
9782380157949.0,"13,1 cm × 20,1 cm × 3,1 cm"
9782311150513.0,"14,0 cm × 21,0 cm × 1,8 cm"
9791093835648.0,"14,2 cm × 21,3 cm × 2,6 cm"
9782746527195.0,"12,5 cm × 19,4 cm × 1,3 cm"
9782492493065.0,"14,8 cm × 21,0 cm × 0,0 cm"
9782889561834.0,"12,5 cm × 18,8 cm × 1,5 cm"
9782889563036.0,"12,5 cm × 18,8 cm × 2,0 cm"
9782889563128.0,"12,5 cm × 18,8 cm × 1,0 cm"
9782889563333.0,"12,5 cm × 18,8 cm × 2,0 cm"
9782381222271.0,"14,3 cm × 21,4 cm × 3,1 cm"
9782413080329.0,"12,2 cm × 18,5 cm × 1,8 cm"
9782246834793.0,"13,1 cm × 20,5 cm × 1,8 cm"
9782368129609.0,"14,5 cm × 23,0 cm × 3,7 cm"
9782017196006.0,"13,6 cm × 21,6 cm × 2,9 cm"
9782381223643.0,"14,3 cm × 21,3 cm × 4,0 cm"
9782380157963.0,"13,2 cm × 20,0 cm × 3,8 cm"
9782246834670.0,"14,0 cm × 20,5 cm × 2,8 cm"
9782322545001.0,"13,5 cm × 21,5 cm × 2,8 cm"
9782494694026.0,"14,9 cm × 21,0 cm × 1,7 cm"
9791035990060.0,"14,8 cm × 21,0 cm × 0,0 cm"
9791035995706.0,"14,8 cm × 21,0 cm × 0,0 cm"
9791042400002.0,"14,8 cm × 21,0 cm × 0,0 cm"
9791042400064.0,"14,8 cm × 21,0 cm × 0,0 cm"
9791042400088.0,"14,8 cm × 21,0 cm × 0,0 cm"
